time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-04T11:51:50.780Z,36.6608315,-121.3033371,-0.37,1.59,md,14,177,0.05069,0.17,nc,nc73106441,2018-11-04T13:25:02.817Z,"14km S of Tres Pinos, CA",earthquake,0.62,4.34,0.24,15,automatic,nc,nc
2018-11-04T11:49:16.640Z,33.4473333,-116.4393333,13.65,0.41,ml,19,160,0.1339,0.12,ci,ci38349024,2018-11-04T11:52:58.557Z,"22km NNW of Borrego Springs, CA",earthquake,0.35,0.76,0.113,9,automatic,ci,ci
2018-11-04T11:48:30.470Z,36.6715012,-121.31633,3.08,1.23,md,9,191,0.1012,0.08,nc,nc73106436,2018-11-04T12:58:02.653Z,"13km S of Tres Pinos, CA",earthquake,1.02,9.59,0.12,5,automatic,nc,nc
2018-11-04T11:35:49.370Z,36.5458336,-121.0751648,3.11,1.3,md,9,148,0.0434,0.06,nc,nc73106426,2018-11-04T12:30:03.487Z,"6km ENE of Pinnacles, CA",earthquake,0.67,1.27,0.06,7,automatic,nc,nc
2018-11-04T11:28:12.080Z,33.6676667,-116.7111667,13.16,0.47,ml,27,91,0.04346,0.12,ci,ci38349016,2018-11-04T11:31:49.220Z,"8km S of Idyllwild, CA",earthquake,0.26,0.45,0.116,14,automatic,ci,ci
2018-11-04T10:43:46.840Z,32.8876667,-116.2736667,4.23,0.83,ml,23,68,0.1251,0.27,ci,ci38349008,2018-11-04T10:47:29.667Z,"25km ENE of Pine Valley, CA",earthquake,0.47,1.32,0.186,14,automatic,ci,ci
2018-11-04T10:37:23.630Z,18.8015,-67.173,15,2.6,md,5,326,0.3397,0.19,pr,pr2018308008,2018-11-04T11:28:57.262Z,"35km NNW of San Antonio, Puerto Rico",earthquake,1.33,1.22,0.28,5,reviewed,pr,pr
2018-11-04T10:35:36.370Z,36.0835,-117.8636667,1.97,1.53,ml,19,108,0.03475,0.15,ci,ci38349000,2018-11-04T10:39:19.482Z,"9km ENE of Coso Junction, CA",earthquake,0.31,0.28,0.212,21,automatic,ci,ci
2018-11-04T10:30:54.375Z,60.0694,-141.8205,0.6,1.5,ml,,,,0.79,ak,ak20323108,2018-11-04T10:38:55.134Z,"33km E of Cape Yakataga, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-11-04T10:27:48.262Z,36.6287,-116.9401,5.1,0.1,ml,14,189.59,0.1,0.144,nn,nn00664154,2018-11-04T14:32:01.362Z,"35km SSW of Beatty, Nevada",earthquake,,2.6,0.42,10,reviewed,nn,nn
2018-11-04T10:26:59.260Z,38.8236656,-122.8105011,1.54,1.95,md,30,46,0.0004293,0.04,nc,nc73106401,2018-11-04T11:35:03.166Z,"7km NW of The Geysers, CA",earthquake,0.18,0.27,0.1,8,automatic,nc,nc
2018-11-04T10:24:23.990Z,33.609,-116.665,9.74,0.69,ml,10,78,0.05858,0.27,ci,ci38348984,2018-11-04T10:28:04.812Z,"6km N of Anza, CA",earthquake,1.37,3.09,0.416,8,automatic,ci,ci
2018-11-04T10:22:18.800Z,36.7781677,-121.5083313,8.11,2.76,md,53,47,0.02799,0.11,nc,nc73106391,2018-11-04T15:31:44.113Z,"8km SSE of San Juan Bautista, CA",earthquake,0.2,0.36,0.13,63,automatic,nc,nc
2018-11-04T10:21:34.630Z,36.7763329,-121.5081635,7.29,1.52,md,24,96,0.02632,0.1,nc,nc73106386,2018-11-04T10:53:02.927Z,"8km SSE of San Juan Bautista, CA",earthquake,0.36,0.41,0.28,15,automatic,nc,nc
2018-11-04T10:19:34.290Z,-10.5243,165.106,70.37,4.8,mb,,115,5.194,0.81,us,us2000i6pt,2018-11-04T10:37:34.040Z,"82km WNW of Lata, Solomon Islands",earthquake,10.2,7.1,0.087,41,reviewed,us,us
2018-11-04T09:54:15.180Z,34.8473333,-118.9068333,10.16,1.29,ml,29,39,0.05102,0.17,ci,ci38348968,2018-11-04T10:01:55.566Z,"4km W of Lebec, CA",earthquake,0.3,0.47,0.257,29,automatic,ci,ci
2018-11-04T09:48:56.449Z,39.6309,-119.3425,10.7,0.1,ml,6,195.49,0.087,0.14,nn,nn00664150,2018-11-04T14:22:45.631Z,"8km WNW of Fernley, Nevada",earthquake,,3.5,0.04,2,reviewed,nn,nn
2018-11-04T09:32:37.720Z,-39.975,176.974,10,4.7,mb,,194,0.889,1.1,us,us2000i6pf,2018-11-04T09:48:11.040Z,"38km SSE of Hastings, New Zealand",earthquake,3.4,1.9,0.123,20,reviewed,us,us
2018-11-04T09:14:53.490Z,33.489,-116.7705,6.65,0.21,ml,12,84,0.08109,0.16,ci,ci38348960,2018-11-04T10:01:40.566Z,"10km ENE of Aguanga, CA",earthquake,0.42,0.98,0.219,5,automatic,ci,ci
2018-11-04T08:57:38.710Z,36.6980019,-121.2829971,-0.43,1.68,md,14,99,0.09062,0.22,nc,nc73106336,2018-11-04T09:00:24.998Z,"11km SSE of Tres Pinos, CA",earthquake,1.16,2.14,0.27,11,automatic,nc,nc
