time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-04T10:43:46.840Z,32.8876667,-116.2736667,4.23,0.83,ml,23,68,0.1251,0.27,ci,ci38349008,2018-11-04T15:49:01.203Z,"25km ENE of Pine Valley, CA",earthquake,0.47,1.32,0.186,14,reviewed,ci,ci
2018-11-04T10:37:23.630Z,18.8015,-67.173,15,2.6,md,5,326,0.3397,0.19,pr,pr2018308008,2018-11-04T11:28:57.262Z,"35km NNW of San Antonio, Puerto Rico",earthquake,1.33,1.22,0.28,5,reviewed,pr,pr
2018-11-04T10:35:36.370Z,36.0835,-117.8636667,1.97,1.53,ml,19,108,0.03475,0.15,ci,ci38349000,2018-11-04T10:39:19.482Z,"9km ENE of Coso Junction, CA",earthquake,0.31,0.28,0.212,21,automatic,ci,ci
2018-11-04T10:30:54.375Z,60.0694,-141.8205,0.6,1.5,ml,,,,0.79,ak,ak20323108,2018-11-04T10:38:55.134Z,"33km E of Cape Yakataga, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-11-04T10:27:48.262Z,36.6287,-116.9401,5.1,0.1,ml,14,189.59,0.1,0.144,nn,nn00664154,2018-11-04T14:32:01.362Z,"35km SSW of Beatty, Nevada",earthquake,,2.6,0.42,10,reviewed,nn,nn
2018-11-04T10:26:59.260Z,38.8236656,-122.8105011,1.54,1.95,md,30,46,0.0004293,0.04,nc,nc73106401,2018-11-04T11:35:03.166Z,"7km NW of The Geysers, CA",earthquake,0.18,0.27,0.1,8,automatic,nc,nc
2018-11-04T10:22:18.800Z,36.7781677,-121.5083313,8.11,2.76,md,53,47,0.02799,0.11,nc,nc73106391,2018-11-04T17:35:01.044Z,"8km SSE of San Juan Bautista, CA",earthquake,0.2,0.36,0.13,63,automatic,nc,nc
2018-11-04T10:21:34.630Z,36.7763329,-121.5081635,7.29,1.52,md,24,96,0.02632,0.1,nc,nc73106386,2018-11-04T10:53:02.927Z,"8km SSE of San Juan Bautista, CA",earthquake,0.36,0.41,0.28,15,automatic,nc,nc
2018-11-04T10:19:34.290Z,-10.5243,165.106,70.37,4.8,mb,,115,5.194,0.81,us,us2000i6pt,2018-11-04T10:37:34.040Z,"82km WNW of Lata, Solomon Islands",earthquake,10.2,7.1,0.087,41,reviewed,us,us
2018-11-04T09:54:15.180Z,34.8473333,-118.9068333,10.16,1.29,ml,29,39,0.05102,0.17,ci,ci38348968,2018-11-04T15:49:18.286Z,"4km W of Lebec, CA",earthquake,0.3,0.47,0.257,29,reviewed,ci,ci
2018-11-04T09:48:56.449Z,39.6309,-119.3425,10.7,0.1,ml,6,195.49,0.087,0.14,nn,nn00664150,2018-11-04T14:22:45.631Z,"8km WNW of Fernley, Nevada",earthquake,,3.5,0.04,2,reviewed,nn,nn
2018-11-04T09:32:37.720Z,-39.975,176.974,10,4.7,mb,,194,0.889,1.1,us,us2000i6pf,2018-11-04T09:48:11.040Z,"38km SSE of Hastings, New Zealand",earthquake,3.4,1.9,0.123,20,reviewed,us,us
2018-11-04T09:14:53.490Z,33.489,-116.7705,6.65,0.21,ml,12,84,0.08109,0.16,ci,ci38348960,2018-11-04T10:01:40.566Z,"10km ENE of Aguanga, CA",earthquake,0.42,0.98,0.219,5,automatic,ci,ci
2018-11-04T09:14:08.422Z,40.2993,-119.7062,5.7,0.6,ml,6,230.51,0.367,0.1576,nn,nn00664188,2018-11-04T18:50:10.473Z,"41km SW of Gerlach-Empire, Nevada",earthquake,,2.4,0.34,2,reviewed,nn,nn
2018-11-04T08:57:38.710Z,36.6980019,-121.2829971,-0.43,1.68,md,14,99,0.09062,0.22,nc,nc73106336,2018-11-04T09:00:24.998Z,"11km SSE of Tres Pinos, CA",earthquake,1.16,2.14,0.27,11,automatic,nc,nc
2018-11-04T08:55:08.941Z,40.3011,-119.6926,8.5,0.3,ml,7,231.94,0.371,0.1425,nn,nn00664187,2018-11-04T18:37:51.830Z,"40km SW of Gerlach-Empire, Nevada",earthquake,,2.4,0.13,2,reviewed,nn,nn
2018-11-04T08:53:38.760Z,33.509,-116.802,1.84,0.37,ml,18,59,0.078,0.16,ci,ci38348952,2018-11-04T15:49:35.393Z,"9km NE of Aguanga, CA",earthquake,0.25,0.46,0.092,9,reviewed,ci,ci
2018-11-04T08:52:13.630Z,38.8056679,-122.8236694,0.71,0.8,md,8,89,0.00536,0.04,nc,nc73106326,2018-11-04T09:23:02.195Z,"7km WNW of The Geysers, CA",earthquake,0.29,1.11,,1,automatic,nc,nc
2018-11-04T08:51:30.700Z,33.826,-117.035,14.41,0.56,ml,18,62,0.1054,0.15,ci,ci38348944,2018-11-04T08:55:09.128Z,"8km WNW of San Jacinto, CA",earthquake,0.39,0.63,0.108,12,automatic,ci,ci
2018-11-04T08:48:05.249Z,63.0032,-150.5897,103,1.7,ml,,,,0.56,ak,ak20322737,2018-11-04T08:52:20.527Z,"79km NNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-04T08:36:15.504Z,63.1764,-150.614,126.2,2.2,ml,,,,3.28,ak,ak20322733,2018-11-04T08:42:54.379Z,"86km WSW of Cantwell, Alaska",earthquake,,2.4,,,automatic,ak,ak
2018-11-04T08:19:34.302Z,37.3843,-114.8586,6.5,1.3,ml,13,207.04,0.155,0.3153,nn,nn00664186,2018-11-04T18:28:37.726Z,"27km E of Alamo, Nevada",earthquake,,3.9,0.46,5,reviewed,nn,nn
2018-11-04T08:02:12.870Z,18.0366,-67.8943,63,2.7,md,22,205,0.5416,0.33,pr,pr2018308005,2018-11-04T09:29:26.040Z,"72km WSW of Stella, Puerto Rico",earthquake,1.76,1.8,0.36,20,reviewed,pr,pr
2018-11-04T08:00:54.470Z,46.743,-119.554666666667,13.23,0.17,md,7,98,,0.08,uw,uw61502426,2018-11-04T18:39:51.920Z,"18km SSE of Royal City, Washington",earthquake,0.57,1.12,0.182831243277846,7,reviewed,uw,uw
2018-11-04T07:56:24.450Z,69.5202,-145.4866,0,2.6,ml,,,,0.7,ak,ak20322341,2018-11-04T08:08:23.205Z,"98km SW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-04T07:55:50.470Z,33.49,-116.7911667,4.07,0.8,ml,34,36,0.02359,0.16,ci,ci38348928,2018-11-04T15:50:47.920Z,"9km NE of Aguanga, CA",earthquake,0.18,0.41,0.099,26,reviewed,ci,ci
2018-11-04T07:55:29.330Z,7.8051,123.8717,598.1,6,mww,,22,1.844,0.78,us,us2000i6mv,2018-11-04T17:21:29.040Z,"6km SE of Sapad, Philippines",earthquake,9.2,5.4,0.052,35,reviewed,us,us
2018-11-04T07:42:42.760Z,38.8040009,-122.776001,3.35,0.93,md,12,153,0.009943,0.02,nc,nc73106301,2018-11-04T08:36:02.934Z,"3km NNW of The Geysers, CA",earthquake,0.49,0.95,0.06,2,automatic,nc,nc
2018-11-04T07:27:04.130Z,32.8408333,-115.5895,14.96,1.12,ml,15,106,0.06514,0.27,ci,ci38348920,2018-11-04T07:30:47.151Z,"2km WSW of Imperial, CA",earthquake,0.82,1.03,0.275,10,automatic,ci,ci
2018-11-04T07:24:22.420Z,33.762,-117.533,6.83,0.94,ml,23,67,0.04687,0.2,ci,ci38348912,2018-11-04T07:27:59.782Z,"12km NNE of Trabuco Canyon, CA",earthquake,0.35,0.63,0.179,21,automatic,ci,ci
2018-11-04T07:22:43.519Z,59.4603,-136.4405,3.5,2.1,ml,,,,0.67,ak,ak20322330,2018-11-04T07:31:21.139Z,"62km WNW of Haines, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-04T07:22:37.099Z,60.9468,-150.8381,18,1.9,ml,,,,0.6,ak,ak20322328,2018-11-04T07:28:39.224Z,"37km NE of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-04T07:12:44.015Z,37.4109,-117.1686,14.9,0.1,ml,8,125.21,0.419,0.1448,nn,nn00664185,2018-11-04T17:48:42.251Z,"33km S of Goldfield, Nevada",earthquake,,4.3,0.22,5,reviewed,nn,nn
2018-11-04T07:10:28.300Z,18.502,-64.9033,30,2.63,md,7,343,1.0117,0.25,pr,pr2018308007,2018-11-04T10:57:23.256Z,"17km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.4,15.76,0.34,6,reviewed,pr,pr
2018-11-04T07:08:05.268Z,36.0406,-115.5395,14.9,0.3,ml,9,160.21,0.064,0.1987,nn,nn00664182,2018-11-04T17:27:10.127Z,"15km WSW of Summerlin South, Nevada",earthquake,,2.5,0.55,4,reviewed,nn,nn
2018-11-04T07:00:16.271Z,39.2298,-120.0911,7.7,-0.4,ml,7,76.21,0.035,0.0664,nn,nn00664181,2018-11-04T17:08:42.926Z,"3km WSW of Tahoe Vista, California",earthquake,,1.5,0.19,2,reviewed,nn,nn
2018-11-04T06:59:31.691Z,35.9535,-115.6157,8.2,1.2,ml,18,62.86,0.165,0.2202,nn,nn00664144,2018-11-04T14:13:32.192Z,"15km N of Sandy Valley, Nevada",earthquake,,2.8,0.45,7,reviewed,nn,nn
2018-11-04T06:22:55.863Z,61.5691,-146.4338,30,1.6,ml,,,,0.94,ak,ak20322325,2018-11-04T06:26:01.804Z,"49km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-04T06:20:27.190Z,31.713,-104.5523,5,2.8,ml,,106,0.493,0.36,us,us2000i6lz,2018-11-04T06:32:00.040Z,"76km SW of Loving, New Mexico",earthquake,3.3,1.1,0.071,26,reviewed,us,us
2018-11-04T06:13:45.240Z,17.9938,-65.344,21,1.92,md,4,346,0.6786,0.18,pr,pr2018308006,2018-11-04T09:17:26.453Z,"17km SE of Esperanza, Puerto Rico",earthquake,3.67,16.51,0.02,3,reviewed,pr,pr
2018-11-04T06:06:42.070Z,33.9733333,-116.9781667,1.37,0.71,ml,16,115,0.205,0.18,ci,ci38348880,2018-11-04T06:10:15.009Z,"5km N of Beaumont, CA",earthquake,0.51,2.22,0.199,20,automatic,ci,ci
2018-11-04T06:06:15.855Z,61.9834,-150.8915,60.3,1.4,ml,,,,0.43,ak,ak20322323,2018-11-04T06:09:11.650Z,"52km WNW of Willow, Alaska",earthquake,,1.4,,,automatic,ak,ak
2018-11-04T06:05:26.114Z,37.1707,-117.3961,0,1.2,ml,24,115.23,0.176,0.1702,nn,nn00664137,2018-11-04T13:45:51.896Z,"61km SSW of Goldfield, Nevada",earthquake,,0,0.24,13,reviewed,nn,nn
2018-11-04T05:58:57.340Z,36.5553,-112.7781,5,2.5,ml,,60,0.412,0.44,us,us2000i6ln,2018-11-04T06:14:16.040Z,"48km SSW of Fredonia, Arizona",earthquake,2.1,1.9,0.053,46,reviewed,us,us
2018-11-04T05:55:37.330Z,18.0366,-67.097,2,2.1,md,3,162,0.0327,0.14,pr,pr2018308004,2018-11-04T09:12:21.421Z,"2km W of Palmarejo, Puerto Rico",earthquake,0.85,1.72,0.11,3,reviewed,pr,pr
2018-11-04T05:54:45.045Z,62.0443,-153.254,0,1.6,ml,,,,0.61,ak,ak20322321,2018-11-04T05:57:54.911Z,"157km SE of McGrath, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-04T05:48:03.184Z,63.2604,-151.1463,5.5,1.1,ml,,,,0.26,ak,ak20322319,2018-11-04T05:53:11.878Z,"110km W of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
